zip,area,county,distance_mi_from_20901,median_sfh_price,est_3br_sfh_rent,property_tax_rate,notes
20901,Silver Spring (core),Montgomery,0,640000,3000,0.0087,Hot market +14.2% YoY; close-in commute; rents lag prices
20902,Wheaton,Montgomery,2,575000,3100,0.0087,Mix of older capes/ranches; metro access via Wheaton/Glenmont
20903,Long Branch / Takoma,Montgomery,2,540000,2900,0.0087,Older small SFHs; close to DC line
20904,East Silver Spring / Colesville,Montgomery,3,569000,3200,0.0087,Larger lots; Beltway access; strong rental demand
20905,Cloverly,Montgomery,6,700000,3700,0.0087,Larger SFHs; rural-suburban; family rentals
20906,Aspen Hill,Montgomery,4,560000,3000,0.0087,SFH median masked by condos; ICC + Glenmont metro
20910,Downtown SS,Montgomery,2,720000,3300,0.0087,Walkable; high entry price
20912,Takoma Park,Montgomery,3,699500,3400,0.0087,Premium location but rent control rules apply
20895,Kensington,Montgomery,4,780000,3700,0.0087,Premium pricing; weak rent ratio
20850,Rockville (core),Montgomery,8,749000,3500,0.0087,Premium pricing; weak rent ratio
20851,Twinbrook,Montgomery,8,625000,3300,0.0087,Older homes; metro access
20853,N Aspen Hill / Norbeck,Montgomery,7,750000,3500,0.0087,Larger lots; commuter
20705,Beltsville,PG,7,439000,3000,0.0115,Strong rent-to-price; PG taxes hurt
20707,Laurel,PG,12,420000,2950,0.0115,Best rent ratios in radius; PG taxes
20708,Laurel South,PG,13,430000,2900,0.0115,Similar to 20707
20737,Riverdale Park,PG,8,497500,2900,0.0115,Purple Line coming; gentrifying
20740,College Park,PG,8,436000,3000,0.0115,Student rental potential near UMD
20770,Greenbelt,PG,9,400000,2800,0.0115,Older inventory; metro access
20781,Hyattsville West,PG,7,534900,3000,0.0115,Arts District; appreciation
20782,Hyattsville North,PG,8,501245,2900,0.0115,Solid SFH stock
20783,Adelphi,PG,5,430000,2700,0.0115,Closest PG market to 20901
20785,Hyattsville East,PG,9,420000,2700,0.0115,Larger SFHs; lower entry
20710,Bladensburg,PG,8,360000,2400,0.0115,Lower entry; higher risk
20716,Bowie SE,PG,18,500000,3100,0.0115,Family suburb; well-kept
20011,DC NW (Petworth/16th St),DC,5,720000,3300,0.0085,DC market; premium pricing
20012,DC Takoma,DC,3,700000,3200,0.0085,DC side of Takoma
